input_word,input_bit,avg_active_words,avg_hamming_weight,bias_score,effectiveness,total_samples,best_output_words,best_output_bits
e,3,15.9594,63.6321,1.0,15.9594,10000,"[(0, 10000), (2, 10000), (3, 10000), (15, 10000), (13, 9997)]","[((2, 6), 9905), ((3, 7), 9072), ((13, 4), 8789), ((13, 7), 8714), ((8, 7), 7745), ((7, 6), 7733), ((0, 3), 7636), ((15, 1), 7636), ((3, 4), 7534), ((0, 0), 7522)]"
c,3,15.9584,63.5605,1.0,15.9584,10000,"[(0, 10000), (1, 10000), (2, 10000), (13, 10000), (15, 9999)]","[((0, 6), 9885), ((1, 7), 9107), ((15, 4), 8810), ((15, 7), 8668), ((5, 6), 7781), ((10, 7), 7764), ((2, 0), 7630), ((13, 6), 7630), ((2, 3), 7618), ((13, 1), 7618)]"
d,3,15.9569,63.5276,1.0,15.9569,10000,"[(1, 10000), (2, 10000), (3, 10000), (14, 10000), (12, 9998)]","[((1, 6), 9915), ((2, 7), 9034), ((12, 4), 8735), ((12, 7), 8545), ((6, 6), 7730), ((11, 7), 7720), ((3, 3), 7661), ((14, 1), 7661), ((2, 4), 7557), ((11, 4), 7534)]"
e,5,15.9558,63.3105,1.0,15.9558,10000,"[(0, 10000), (3, 10000), (15, 10000), (2, 9998), (13, 9994)]","[((2, 4), 9503), ((3, 2), 8758), ((0, 6), 8753), ((15, 4), 8753), ((13, 5), 8699), ((3, 5), 8322), ((13, 2), 7528), ((14, 0), 6909), ((8, 2), 6688), ((0, 3), 6580)]"
e,7,15.9558,62.8744,1.0,15.9558,10000,"[(0, 10000), (2, 10000), (3, 10000), (15, 10000), (13, 9999)]","[((2, 2), 9604), ((13, 0), 8678), ((3, 3), 8514), ((13, 3), 8363), ((0, 4), 7694), ((15, 2), 7694), ((3, 0), 7486), ((8, 0), 7220), ((0, 7), 7131), ((15, 5), 7131)]"
d,2,15.9555,63.1179,1.0,15.9555,10000,"[(1, 10000), (2, 10000), (3, 10000), (14, 10000), (12, 9995)]","[((1, 7), 9860), ((2, 0), 8368), ((12, 0), 8261), ((12, 5), 8239), ((2, 5), 8149), ((3, 1), 7610), ((14, 7), 7610), ((11, 5), 7463), ((3, 6), 7074), ((14, 4), 7074)]"
d,0,15.9552,63.4075,1.0,15.9552,10000,"[(2, 10000), (3, 10000), (14, 10000), (1, 9999), (12, 9994)]","[((1, 1), 9576), ((2, 7), 8682), ((2, 2), 8445), ((11, 7), 8345), ((3, 3), 8232), ((14, 1), 8232), ((12, 7), 8222), ((12, 2), 7932), ((13, 5), 7344), ((3, 6), 7090)]"
f,5,15.9549,63.1909,1.0,15.9549,10000,"[(0, 10000), (1, 10000), (3, 10000), (12, 10000), (14, 9992)]","[((3, 4), 9501), ((0, 2), 8744), ((1, 6), 8696), ((12, 4), 8696), ((14, 5), 8659), ((0, 5), 8319), ((14, 2), 7568), ((15, 0), 6797), ((9, 2), 6672), ((1, 3), 6556)]"
c,2,15.9541,63.0329,1.0,15.9541,10000,"[(0, 10000), (1, 10000), (2, 10000), (13, 10000), (15, 9993)]","[((0, 7), 9865), ((15, 0), 8274), ((1, 0), 8258), ((15, 5), 8204), ((1, 5), 8102), ((2, 1), 7599), ((13, 7), 7599), ((10, 5), 7431), ((2, 6), 7062), ((13, 4), 7062)]"
c,7,15.9538,62.9294,1.0,15.9538,10000,"[(0, 10000), (1, 10000), (2, 10000), (13, 10000), (10, 9995)]","[((0, 2), 9567), ((15, 0), 8675), ((1, 3), 8465), ((15, 3), 8398), ((2, 4), 7599), ((13, 2), 7599), ((1, 0), 7535), ((10, 0), 7345), ((2, 7), 7112), ((13, 5), 7112)]"
e,0,15.9534,63.3626,1.0,15.9534,10000,"[(0, 10000), (2, 10000), (3, 10000), (15, 10000), (13, 9984)]","[((2, 1), 9601), ((3, 7), 8677), ((3, 2), 8505), ((8, 7), 8277), ((0, 3), 8175), ((15, 1), 8175), ((13, 7), 8130), ((13, 2), 7890), ((14, 5), 7321), ((0, 6), 7107)]"
f,3,15.9534,63.5485,1.0,15.9534,10000,"[(0, 10000), (1, 10000), (3, 10000), (12, 10000), (14, 9995)]","[((3, 6), 9908), ((0, 7), 9047), ((14, 4), 8837), ((14, 7), 8684), ((4, 6), 7806), ((9, 7), 7799), ((0, 4), 7602), ((1, 3), 7599), ((12, 1), 7599), ((9, 4), 7573)]"
f,7,15.9533,62.893,1.0,15.9533,10000,"[(0, 10000), (1, 10000), (12, 10000), (3, 9999), (9, 9995)]","[((3, 2), 9612), ((14, 0), 8689), ((0, 3), 8524), ((14, 3), 8384), ((1, 4), 7651), ((12, 2), 7651), ((0, 0), 7417), ((9, 0), 7198), ((1, 7), 7130), ((12, 5), 7130)]"
d,5,15.9531,63.2769,1.0,15.9531,10000,"[(2, 10000), (3, 10000), (14, 10000), (1, 9996), (12, 9990)]","[((1, 4), 9524), ((12, 5), 8756), ((2, 2), 8729), ((3, 6), 8697), ((14, 4), 8697), ((2, 5), 8346), ((12, 2), 7545), ((13, 0), 6870), ((11, 2), 6686), ((3, 3), 6640)]"
c,5,15.953,63.2434,1.0,15.953,10000,"[(1, 10000), (2, 10000), (13, 10000), (0, 9998), (15, 9994)]","[((0, 4), 9496), ((1, 2), 8758), ((15, 5), 8675), ((2, 6), 8653), ((13, 4), 8653), ((1, 5), 8272), ((15, 2), 7535), ((12, 0), 6767), ((10, 2), 6722), ((2, 3), 6537)]"
c,0,15.952,63.2109,1.0,15.952,10000,"[(1, 10000), (2, 10000), (13, 10000), (0, 9999), (10, 9992)]","[((0, 1), 9573), ((1, 7), 8732), ((1, 2), 8516), ((10, 7), 8282), ((15, 7), 8182), ((2, 3), 8120), ((13, 1), 8120), ((15, 2), 7923), ((12, 5), 7459), ((2, 6), 7134)]"
e,2,15.9518,63.1217,1.0,15.9518,10000,"[(0, 10000), (3, 10000), (15, 10000), (2, 9999), (13, 9992)]","[((2, 7), 9872), ((13, 0), 8309), ((13, 5), 8306), ((3, 0), 8273), ((3, 5), 8049), ((8, 5), 7590), ((0, 1), 7522), ((15, 7), 7522), ((0, 6), 7065), ((15, 4), 7065)]"
f,1,15.9515,62.9225,1.0,15.9515,10000,"[(0, 10000), (1, 10000), (3, 10000), (12, 10000), (14, 9997)]","[((3, 0), 9532), ((1, 2), 8862), ((12, 0), 8862), ((0, 6), 8705), ((0, 1), 8201), ((14, 1), 7942), ((14, 6), 7693), ((9, 6), 7619), ((15, 4), 6964), ((1, 7), 6581)]"
c,4,15.9513,63.544,1.0,15.9513,10000,"[(0, 10000), (1, 10000), (2, 10000), (13, 10000), (15, 9998)]","[((0, 5), 9591), ((2, 7), 8694), ((13, 5), 8694), ((1, 6), 8334), ((1, 3), 8125), ((15, 3), 7589), ((15, 6), 7511), ((10, 3), 6689), ((12, 1), 6499), ((5, 5), 6321)]"
c,6,15.9512,62.8692,1.0,15.9512,10000,"[(0, 10000), (1, 10000), (2, 9999), (13, 9999), (15, 9996)]","[((0, 3), 9576), ((15, 1), 8885), ((15, 4), 8762), ((1, 4), 8166), ((2, 5), 8081), ((13, 3), 8081), ((1, 1), 7455), ((12, 7), 6896), ((10, 1), 6726), ((2, 2), 6473)]"
